Operating Airline,Published Airline,Source ,Destination,Terminal
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 1
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 3
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 3
Air France,Air France,Bonn,Paris,Terminal 4
Air France,Air France,Bonn,Paris,Terminal 4
Air France,Air France,Bonn,Paris,Terminal 4
